start	
1	게임 시작
2	방 나가기
3	게임종료
4	열기
5	닫기
18	수정
19	STR
20	DEX
21	VIT
22	INT
23	WIS
24	EXT1
25	EXT2
27	데미지
28	공격
29	회피율
30	공격
31	성공율
32	기본
33	방어력
34	패스트
35	리커버리
36	마법
37	데미지
38	마법
39	방어력
40	크리티컬
41	확률
42	추가데미지
43	저항력
44	물
45	바람
46	땅
47	불
48	서버 선택
49	게임 종료
50	캐릭터 선택
51	키 도움말
52	추방
53	배틀존이름
54	타입
55	지역
56	제한설정
57	참여인원
58	개설자
59	시간
60	디스플레이 설정
61	새로고침
64	배틀존참여
65	배틀존생성
66	일반 설정
67	제한설정
68	레벨제한
69	최저
70	최대
71	인원수제한
72	클래스제한
73	필드맵
74	몬스터타입
75	보너스
76	MISSION
77	CUSTOM
78	버서커가능
79	버서커불가능
80	드래곤가능
81	드래곤불가능
82	발키리가능
83	발키리불가능
84	공격력약함
85	체력약함
86	속도느림
87	모두 등장
88	경험치
89	아이템
90	개설자 캐릭터명을 입력하십시오.
91	비밀번호를 입력하십시오.
92	해당 캐릭터가 개설한 배틀존이 존재하지 않습니다.
93	해당 배틀존이 존재하지 않습니다.
94	선택하신 배틀존에 참여할 수 없습니다.
95	이전에 참여한 배틀존이 존재하지 않습니다.
96	이전에 참여한 배틀존에 참여할 수 없습니다.
97	참여 가능한 인원수를 초과하여 배틀존에 참여할 수 없습니다.
100	확인
101	취소
102	선택
103	월드서버 선택
104	만들기
105	취소
106	공개여부
107	배틀존이름
108	비밀번호
109	%s
110	Ready
111	최저 레벨 설정이 레벨 하한 설정 보다 작습니다. 다시 입력해 주십시오.
112	최고 레벨 설정이 레벨 상한 설정 보다 작습니다. 다시 입력해 주십시오.
113	배틀존 생성 정보(지역,배틀존이름,제한설정)를 확인해 주십시오
114	동일한 이름의 배틀존이 있습니다. 다시 입력해 주십시오.
115	게임시작
116	마을로
117	야수들의 숲으로 파티가 이동합니다. 동행하시겠습니까?
118	지하수로로 파티가 이동합니다. 동행하시겠습니까?
119	배틀존 참여 권한은 파티장에게 있습니다.
120	참여 가능한 인원을 초과하여 배틀존에 참여할 수 없습니다.
121	전체수리
122	닫기
123	구매
124	판매
125	수리
126	상점에서 구매할 아이템을 좌클릭하십시오
127	인벤토리에서 판매할 아이템을 좌클릭하십시오
128	인벤토리에서 수리할 아이템을 좌클릭하십시오
129	전체 수리 비용
130	더 이상 아이템을 구매할 수 없습니다.
131	돈이 부족합니다.
132	상점
133	돈찾음
134	닫기
135	찾음
136	맡김
137	창고
138	인벤토리에서 맡길 아이템을 좌클릭하십시오.
139	창고에서 찾을 아이템을 좌클릭하십시오.
140	더 이상 찾을 수 없습니다.
141	더 이상 맡길 수 없습니다.
142	수수료가 부족합니다.
143	입금하실 금액을 입력하십시오.
144	출금하실 금액을 입력하십시오.
145	공격력
147	캐릭터 상호 작용 시작/중지
148	채팅입력 시작/메시지보내기
149	떨어진 아이템 보기
150	아이템 먹기
151	화면 캡쳐
152	캐릭터 창 열기/닫기
153	인벤토리/장비 창 열기/닫기
154	스킬 창 열기/닫기
155	퀘스트 창 열기/닫기
156	길드창 열기/닫기
157	친구창 열기/닫기
158	전체 지도 열기/닫기
159	파티창 보이기/안보이기
160	채팅창 보이기/안보이기
161	레이더창 보이기/안보이기
162	(카메라중심)전진
163	(카메라중심)좌측앞으로
164	(카메라중심)우측앞으로
165	(카메라 방향중심) 뒷걸음질
166	(캐릭터중심)좌로 사이드 스텝
167	(캐릭터중심)우로 사이드 스텝
168	(캐릭터중심)뒷걸음질
169	다음 Slot
170	가입하기
172	게임 접속
173	공지사항
174	홈페이지가기
175	아이디
176	비밀번호
177	Quick Slot8
178	Quick Slot9
179	Quick Slot10
180	Quick Slot11
181	Quick Slot12
182	무기 스왑
183	Zoom In
184	Zoom Out
185	카메라 좌로 돌리기
186	카메라 우로 돌리기
