//·ОµщБЯµµїтё»		
//		
Index	HelpString	FieldEnd
	//ґЬГаЕ°	
2	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите M, чтобы открыть карту мира.</sdwcolor></shadow></color>	
3	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите кнопку меню в правом нижнем углу, чтобы открыть основное меню и список горячих клавиш.</sdwcolor></shadow></color>	
4	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Передвигайтесь, щёлкая левой кнопкой мыши по земле, или клавишами W, S, Q и E.</sdwcolor></shadow></color>	
5	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Щёлкните правой кнопкой мыши в инвентаре, чтобы надеть снаряжение или использовать расходуемый предмет.</sdwcolor></shadow></color>	
6	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Чтобы помочь участнику группы, щёлкните по нему правой кнопкой мыши в окне группы.</sdwcolor></shadow></color>	
7	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Ячейки быстрого доступа можно использовать клавишами 1–0 и Alt+1–Alt+0.</sdwcolor></shadow></color>	
8	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите Tab, чтобы выбрать ближайшего монстра.</sdwcolor></shadow></color>	
9	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Когда окно инвентаря активно, нажмите U, чтобы развернуть или свернуть его.</sdwcolor></shadow></color>	
10	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите правый Alt, чтобы увидеть предметы, выпавшие поблизости.</sdwcolor></shadow></color>	//20151026јцБ¤
11	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите F1, чтобы выбрать себя, и F2–F10, чтобы выбрать участников группы.</sdwcolor></shadow></color>	
12	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Нажмите PrintScreen — снимок экрана автоматически сохранится в папку Screenshot в каталоге игры.</sdwcolor></shadow></color>	
	//NPC	
14	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Храните предметы и игровую валюту — хайм — у NPC-хранителя.</sdwcolor></shadow></color>	
15	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Доска личных лавок показывает все личные лавки, открытые на вашем канале.</sdwcolor></shadow></color>	
	//№иЖІБё	
17	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Заходите в Боевую зону (F11), чтобы играть вместе с другими игроками.</sdwcolor></shadow></color>	
18	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Используйте запись в очередь Боевой зоны — вас оповестят прямо в игре, когда будет создана нужная комната миссии.</sdwcolor></shadow></color>	
19	<color=ffffffff><shadow=1><sdwcolor=ffff4800>[Совет] Пройдите карту миссии до конца, чтобы получить предметы, опыт и хайм.</sdwcolor></shadow></color>	
